曲名,歌手名,ユーザー,スコア,日付
アイラブユー,back number,まつりく,84.101,2024/07/11 17:52:47
115万キロのフィルム(生音),Official髭男dism,まつりく,77.766,2024/07/11 18:01:07
別の人の彼女になったよ(生音),wacci,まつりく,85.687,2024/07/11 18:20:47
ビリミリオン,優里,まつりく,84.764,2024/07/11 18:30:55
星座になれたら(生音),結束バンド,まつりく,88.443,2024/07/11 18:34:56
さよならエレジー(生音),菅田将暉,まつりく,90.019,2024/07/11 18:42:28
SUN,星野 源,まつりく,84.133,2024/07/11 19:00:06
アイデア(ビデオクリップバージョン)(生音),星野 源,まつりく,85.116,2024/07/11 19:06:35
Crazy Crazy,星野 源,まつりく,85.963,2024/07/11 19:11:28
恋だろ(生音),wacci,まつりく,88.025,2024/07/11 19:16:52
恋だろ(生音),wacci,まつりく,87.367,2024/07/11 19:22:47
恋だろ(生音),wacci,まつりく,86.076,2024/07/11 19:32:27
恋だろ(生音),wacci,まつりく,88.241,2024/07/11 19:39:53
恋だろ(生音),wacci,まつりく,87.966,2024/07/11 19:45:56
地獄でなぜ悪い,星野 源,まつりく,81.405,2024/07/17 15:21:28
Friend Ship,星野 源,まつりく,83.868,2024/07/17 15:31:25
水平線(生音),back number,まつりく,81.233,2024/07/17 15:36:25
チェリー(生音),スピッツ,まつりく,89.157,2024/07/17 15:43:17
さよならエレジー(生音),菅田将暉,まつりく,89.119,2024/07/17 15:49:56
恋だろ(生音),wacci,まつりく,82.039,2024/07/17 16:07:25
恋だろ(生音),wacci,まつりく,85.767,2024/07/17 16:10:53
踊り子,Vaundy,まつりく,82.382,2024/07/17 16:21:06
不可幸力,Vaundy,まつりく,78.445,2024/07/17 16:25:22
全力少年 [良音],スキマスイッチ,まつりく,77.142,2024/07/17 16:31:30
3月9日(生音),レミオロメン,まつりく,88.612,2024/07/17 16:34:30
君に届け(生音),flumpool,まつりく,85.814,2024/07/17 16:41:52
魔法の絨毯(生音),川崎鷹也,まつりく,86.431,2024/07/17 16:51:03
猫(生音),DISH//,まつりく,89.278,2024/07/17 16:56:19
